Date,Buy & Hold,Momentum,Sentiment + Momentum,Buy & Hold Cumulative,Momentum Cumulative,Sentiment + Momentum Cumulative
2015-03-06,-0.01551780665601763,0.0,0.0,1.0404430363530492,1.0,1.0
2015-03-09,0.0039372179200948395,0.0,0.0,1.0445394873206164,1.0,1.0
2015-03-10,-0.018261246458644236,0.0,0.0,1.0254648943068687,1.0,1.0
2015-03-11,-0.0034171765409479796,0.0,0.0,1.0219606997264776,1.0,1.0
2015-03-12,0.002245491047970615,0.0,0.0,1.0242555033290912,1.0,1.0
2015-03-13,-0.0017772409265825097,0.0,0.0,1.0224351545292973,1.0,1.0
2015-03-16,0.014488762920379369,0.0,0.0,1.0372489750847338,1.0,1.0
2015-03-17,3.881430487334527e-05,0.00206706705102788,0.0,1.0372892351826823,1.0020670670510279,1.0
2015-03-18,0.008499234639154096,0.0015336700241056552,0.0,1.0461053997811687,1.0036039072739076,1.0
2015-03-19,-0.000256400298674,0.0011613271067275502,0.0,1.0458371780442204,1.0047694196958423,1.0
2015-03-20,0.007342883834583455,0.001750335073623725,0.0,1.0535166389524877,1.0065281028520405,1.0
2015-03-23,-0.002191060095253255,-8.884543533196967e-05,0.0,1.0512083206851937,1.0064386774245688,1.0
2015-03-24,-0.0047585076769653305,-0.0025363989243839353,0.0,1.0462061378211234,1.0038859474456907,1.0
2015-03-25,-0.034585117034185986,-0.012347235356946536,0.0,1.0100229761026962,0.9914907313810476,1.0
2015-03-26,-0.0009240480944778898,-0.00024201638936387503,0.0,1.0090896662962496,0.9912507743741511,1.0
2015-03-27,0.00781459790216817,0.00011551753234951501,0.0,1.016975296285588,0.9913652812175463,1.0
2015-03-30,0.0094624766808533,0.0,0.0,1.0265984013116942,0.9913652812175463,1.0
2015-03-31,-0.00743174772960187,-0.00041540777111335504,0.0,1.0189689809735332,0.9909534603757165,1.0
2015-04-01,-0.006063842943834645,6.489268026514501e-05,0.0,1.0127901131082704,0.9910177660017783,1.0
